scenario,method,replication,greek,asset,bump,direction,total_value,runtime_seconds,pricing_seed,bridge_bank_seed
near-KI,M0,3,ParallelSpot,parallel,0.0025,plus,82.3065939077978,0.14052310003899038,3029087189,242366888
near-KI,M0,3,ParallelSpot,parallel,0.005,minus,81.54136542708945,0.11505250004120171,3029087189,242366888
near-KI,M0,3,ParallelSpot,parallel,0.005,plus,82.50706783760982,0.1669473999645561,3029087189,242366888
near-KI,M0,3,ParallelSpot,parallel,0.01,minus,81.21087628514887,0.09138640004675835,3029087189,242366888
near-KI,M0,3,ParallelSpot,parallel,0.01,plus,82.8642231421333,0.07924440002534539,3029087189,242366888
near-KI,M0,3,Volatility,asset_1,0.0025,minus,82.22288921559255,0.07119490002514794,3029087189,242366888
near-KI,M0,3,Volatility,asset_1,0.0025,plus,81.95628356967417,0.07888159999856725,3029087189,242366888
near-KI,M0,3,Volatility,asset_1,0.005,minus,82.32738376068212,0.07371610001428053,3029087189,242366888
near-KI,M0,3,Volatility,asset_1,0.005,plus,81.83251209247167,0.06981949997134507,3029087189,242366888
near-KI,M0,3,Volatility,asset_1,0.01,minus,82.56370954299004,0.07170899998163804,3029087189,242366888
near-KI,M0,3,Volatility,asset_1,0.01,plus,81.58201324388591,0.06966640002792701,3029087189,242366888
near-KI,M0,3,Volatility,asset_2,0.0025,minus,82.12394452666038,0.07361799996579066,3029087189,242366888
near-KI,M0,3,Volatility,asset_2,0.0025,plus,82.07869214872035,0.06418530002702028,3029087189,242366888
near-KI,M0,3,Volatility,asset_2,0.005,minus,82.1434327943724,0.06650790001731366,3029087189,242366888
near-KI,M0,3,Volatility,asset_2,0.005,plus,82.05395321374654,0.05952380003873259,3029087189,242366888
near-KI,M0,3,Volatility,asset_2,0.01,minus,82.1869111379005,0.06339190003927797,3029087189,242366888
near-KI,M0,3,Volatility,asset_2,0.01,plus,82.00243018939626,0.06635179999284446,3029087189,242366888
near-KI,M0,3,Volatility,asset_3,0.0025,minus,82.1287507799082,0.058615999994799495,3029087189,242366888
near-KI,M0,3,Volatility,asset_3,0.0025,plus,82.08167655671741,0.0631763000274077,3029087189,242366888
near-KI,M0,3,Volatility,asset_3,0.005,minus,82.14663948110388,0.059487299993634224,3029087189,242366888
near-KI,M0,3,Volatility,asset_3,0.005,plus,82.0600180256731,0.07097970001632348,3029087189,242366888
near-KI,M0,3,Volatility,asset_3,0.01,minus,82.18035740259867,0.0853118000086397,3029087189,242366888
near-KI,M0,3,Volatility,asset_3,0.01,plus,82.01366538401888,0.08266389998607337,3029087189,242366888
near-KI,M0,3,ParallelVolatility,parallel,0.0025,minus,82.27339727670034,0.05398939998121932,3029087189,242366888
near-KI,M0,3,ParallelVolatility,parallel,0.0025,plus,81.91430610230175,0.07244580000406131,3029087189,242366888
near-KI,M0,3,ParallelVolatility,parallel,0.005,minus,82.42121014317185,0.0649631000123918,3029087189,242366888
near-KI,M0,3,ParallelVolatility,parallel,0.005,plus,81.75010544116475,0.059301899978891015,3029087189,242366888
near-KI,M0,3,ParallelVolatility,parallel,0.01,minus,82.75935510357628,0.06080840004142374,3029087189,242366888
near-KI,M0,3,ParallelVolatility,parallel,0.01,plus,81.42033588216545,0.0649312999448739,3029087189,242366888
near-KI,M3,0,Base,base,0.0,base,83.70447641495683,0.582872099999804,2847378271,3586461459
near-KI,M3,0,Spot,asset_1,0.001,minus,83.63290962661074,0.5626207999885082,2847378271,3586461459
near-KI,M3,0,Spot,asset_1,0.001,plus,83.77216104813478,0.5438276000204496,2847378271,3586461459
near-KI,M3,0,Spot,asset_1,0.0025,minus,83.47602178717392,0.5204311999841593,2847378271,3586461459
near-KI,M3,0,Spot,asset_1,0.0025,plus,83.90613179633004,0.5230917000444606,2847378271,3586461459
near-KI,M3,0,Spot,asset_1,0.005,minus,83.2679075808266,0.5456344000413083,2847378271,3586461459
near-KI,M3,0,Spot,asset_1,0.005,plus,84.1134029012084,0.5500539999920875,2847378271,3586461459
