Method,Barrier ratio,Replication,Spot bump,Gamma
Conditioned MC,0.85,17,0.005,0.018685539506741122
Conditioned MC,0.85,17,0.01,0.018058293424607186
Direct MC,0.95,17,0.001,0.035272036578781744
Direct MC,0.95,17,0.0025,0.011872771035427832
Direct MC,0.95,17,0.005,-0.010018036496099114
Direct MC,0.95,17,0.01,-0.0022935408709470195
Conditioned MC,0.95,17,0.001,0.013806969946017485
Conditioned MC,0.95,17,0.0025,0.013836946881397694
Conditioned MC,0.95,17,0.005,0.013808397311780851
Conditioned MC,0.95,17,0.01,0.013878752333285505
Direct MC,0.7,18,0.001,0.019799880396043076
Direct MC,0.7,18,0.0025,0.020793261140482855
Direct MC,0.7,18,0.005,0.021133532896563167
Direct MC,0.7,18,0.01,0.020981887173654457
Conditioned MC,0.7,18,0.001,0.019656590684213878
Conditioned MC,0.7,18,0.0025,0.020324613849226125
Conditioned MC,0.7,18,0.005,0.020866939268415763
Conditioned MC,0.7,18,0.01,0.020905745266306397
Direct MC,0.85,18,0.001,-0.3045841790049408
Direct MC,0.85,18,0.0025,-0.00935276748921865
Direct MC,0.85,18,0.005,0.01624061164424262
Direct MC,0.85,18,0.01,0.025310519173743273
Conditioned MC,0.85,18,0.001,0.01628550287104957
Conditioned MC,0.85,18,0.0025,0.017235154902067507
Conditioned MC,0.85,18,0.005,0.017679684549598562
Conditioned MC,0.85,18,0.01,0.01807735284314127
Direct MC,0.95,18,0.001,1.309948234600444
Direct MC,0.95,18,0.0025,0.22035129728381264
Direct MC,0.95,18,0.005,0.015422784822291646
Direct MC,0.95,18,0.01,0.011113968919218564
Conditioned MC,0.95,18,0.001,0.015448769824288885
Conditioned MC,0.95,18,0.0025,0.015550496170632755
Conditioned MC,0.95,18,0.005,0.015657929806891957
Conditioned MC,0.95,18,0.01,0.015808669872775738
Direct MC,0.7,19,0.001,0.023494669458301583
Direct MC,0.7,19,0.0025,0.022131833269639856
Direct MC,0.7,19,0.005,0.022314905149229958
Direct MC,0.7,19,0.01,0.02176302215845638
Conditioned MC,0.7,19,0.001,0.02300908078520791
Conditioned MC,0.7,19,0.0025,0.021881008614116126
Conditioned MC,0.7,19,0.005,0.022016133715681008
Conditioned MC,0.7,19,0.01,0.021660293690215937
Direct MC,0.85,19,0.001,-0.29272147761005834
Direct MC,0.85,19,0.0025,-0.010827409191790593
Direct MC,0.85,19,0.005,0.03871101463181503
Direct MC,0.85,19,0.01,0.0261727397943865
Conditioned MC,0.85,19,0.001,0.01822776641624557
Conditioned MC,0.85,19,0.0025,0.018291173664721327
Conditioned MC,0.85,19,0.005,0.01778159391487577
Conditioned MC,0.85,19,0.01,0.017853685985818046
Direct MC,0.95,19,0.001,0.299823990009429
Direct MC,0.95,19,0.0025,-0.002470935054674328
Direct MC,0.95,19,0.005,0.06091295718169931
Direct MC,0.95,19,0.01,0.06137902310924925
Conditioned MC,0.95,19,0.001,0.014290013184936608
Conditioned MC,0.95,19,0.0025,0.014257254889287196
Conditioned MC,0.95,19,0.005,0.014392718781873981
Conditioned MC,0.95,19,0.01,0.014608004496423632
Direct MC,0.7,20,0.001,0.01726595482747228
Direct MC,0.7,20,0.0025,0.018908532141438172
Direct MC,0.7,20,0.005,0.019150173821508076
Direct MC,0.7,20,0.01,0.019565952598679104
Conditioned MC,0.7,20,0.001,0.017584225035882636
Conditioned MC,0.7,20,0.0025,0.018850969309966104
Conditioned MC,0.7,20,0.005,0.019631397488780067
Conditioned MC,0.7,20,0.01,0.01965774388306052
Direct MC,0.85,20,0.001,0.2034790875502068
Direct MC,0.85,20,0.0025,0.055997970197125824
Direct MC,0.85,20,0.005,0.0210591283076198
Direct MC,0.85,20,0.01,0.023901743966971978
