Method,Barrier ratio,Replication,Spot bump,Delta
Conditioned MC,0.95,17,0.001,0.8060877999656846
Conditioned MC,0.95,17,0.0025,0.8060526359961617
Conditioned MC,0.95,17,0.005,0.8058713913849784
Conditioned MC,0.95,17,0.01,0.8051358701505693
Direct MC,0.7,18,0.001,0.6010494595523586
Direct MC,0.7,18,0.0025,0.6008405334949849
Direct MC,0.7,18,0.005,0.6006194453961076
Direct MC,0.7,18,0.01,0.6004582864108965
Conditioned MC,0.7,18,0.001,0.6009987626854407
Conditioned MC,0.7,18,0.0025,0.6008463956729351
Conditioned MC,0.7,18,0.005,0.6006375259109049
Conditioned MC,0.7,18,0.01,0.6004823263525454
Direct MC,0.85,18,0.001,0.6333400254088861
Direct MC,0.85,18,0.0025,0.629206510231004
Direct MC,0.85,18,0.005,0.6300150568943099
Direct MC,0.85,18,0.01,0.6243778679872065
Conditioned MC,0.85,18,0.001,0.6215273648012687
Conditioned MC,0.85,18,0.0025,0.6215800564157696
Conditioned MC,0.85,18,0.005,0.6216020055808631
Conditioned MC,0.85,18,0.01,0.6216557923775747
Direct MC,0.95,18,0.001,0.8159853878398104
Direct MC,0.95,18,0.0025,0.8085180824959526
Direct MC,0.95,18,0.005,0.8321274776608814
Direct MC,0.95,18,0.01,0.8209185248020914
Conditioned MC,0.95,18,0.001,0.8009450738617119
Conditioned MC,0.95,18,0.0025,0.8008807753829839
Conditioned MC,0.95,18,0.005,0.8006915727709067
Conditioned MC,0.95,18,0.01,0.799966966260004
Direct MC,0.7,19,0.001,0.5989358437801151
Direct MC,0.7,19,0.0025,0.5990168550631019
Direct MC,0.7,19,0.005,0.5989655234657896
Direct MC,0.7,19,0.01,0.5989646000743694
Conditioned MC,0.7,19,0.001,0.5989260559114751
Conditioned MC,0.7,19,0.0025,0.5990104360687667
Conditioned MC,0.7,19,0.005,0.598975898075885
Conditioned MC,0.7,19,0.01,0.5989556875738282
Direct MC,0.85,19,0.001,0.6137455034357941
Direct MC,0.85,19,0.0025,0.615647691768956
Direct MC,0.85,19,0.005,0.6193666353679497
Direct MC,0.85,19,0.01,0.6213533316095656
Conditioned MC,0.85,19,0.001,0.6198099725262907
Conditioned MC,0.85,19,0.0025,0.6199712589642665
Conditioned MC,0.85,19,0.005,0.6199353691136409
Conditioned MC,0.85,19,0.01,0.6199071971437116
Direct MC,0.95,19,0.001,0.8453388993413657
Direct MC,0.95,19,0.0025,0.8281221966944337
Direct MC,0.95,19,0.005,0.8058297243341936
Direct MC,0.95,19,0.01,0.7976973000738057
Conditioned MC,0.95,19,0.001,0.7982792920727677
Conditioned MC,0.95,19,0.0025,0.798235913277896
Conditioned MC,0.95,19,0.005,0.7980890633387103
Conditioned MC,0.95,19,0.01,0.7974542219981657
Direct MC,0.7,20,0.001,0.5940289446757507
Direct MC,0.7,20,0.0025,0.5940615971355427
Direct MC,0.7,20,0.005,0.5942239036930363
Direct MC,0.7,20,0.01,0.5941863693374856
Conditioned MC,0.7,20,0.001,0.5940567929505836
Conditioned MC,0.7,20,0.0025,0.5940742144544195
Conditioned MC,0.7,20,0.005,0.5940911564326186
Conditioned MC,0.7,20,0.01,0.594144614054918
Direct MC,0.85,20,0.001,0.6176843088646677
Direct MC,0.85,20,0.0025,0.6190430949701984
Direct MC,0.85,20,0.005,0.6158803291244315
Direct MC,0.85,20,0.01,0.6138394330305088
Conditioned MC,0.85,20,0.001,0.6145229975062083
Conditioned MC,0.85,20,0.0025,0.6146010032126661
Conditioned MC,0.85,20,0.005,0.6145869172807235
Conditioned MC,0.85,20,0.01,0.6145183235314908
Direct MC,0.95,20,0.001,0.7865885405465134
Direct MC,0.95,20,0.0025,0.7839344946449991
Direct MC,0.95,20,0.005,0.8277217196262114
Direct MC,0.95,20,0.01,0.7986248781872627
Conditioned MC,0.95,20,0.001,0.7998393390871028
Conditioned MC,0.95,20,0.0025,0.7997902587652757
Conditioned MC,0.95,20,0.005,0.7996101449588746
Conditioned MC,0.95,20,0.01,0.7989073288250803
Direct MC,0.7,21,0.001,0.588580757503161
Direct MC,0.7,21,0.0025,0.5885203922243711
Direct MC,0.7,21,0.005,0.5885279744409466
Direct MC,0.7,21,0.01,0.5885812262043189
Conditioned MC,0.7,21,0.001,0.5885242799077428
Conditioned MC,0.7,21,0.0025,0.5884874546934071
Conditioned MC,0.7,21,0.005,0.5885266153335813
Conditioned MC,0.7,21,0.01,0.5885665447381405
Direct MC,0.85,21,0.001,0.6088133367326343
Direct MC,0.85,21,0.0025,0.6017818968603912
Direct MC,0.85,21,0.005,0.6074463650285082
Direct MC,0.85,21,0.01,0.6052922985613831
Conditioned MC,0.85,21,0.001,0.6089630295614956
Conditioned MC,0.85,21,0.0025,0.6089700017486095
Conditioned MC,0.85,21,0.005,0.6089713349040409
Conditioned MC,0.85,21,0.01,0.6089574920220682
Direct MC,0.95,21,0.001,0.8452062505131774
Direct MC,0.95,21,0.0025,0.8070976778975005
Direct MC,0.95,21,0.005,0.7685072394873504
Direct MC,0.95,21,0.01,0.7768702237823759
Conditioned MC,0.95,21,0.001,0.7820613173057511
