method,replication,greek,bump,estimate,analytic_fd,error_vs_analytic
Conditional weight,5,Delta,0.0025,0.9724407955867438,0.9522568488218823,0.02018394676486146
Conditional weight,5,Gamma,0.0025,0.006437509497615679,-0.009372345575741292,0.01580985507335697
Conditional weight,5,Delta,0.005,0.9724442979351906,0.9523078749804235,0.02013642295476714
Conditional weight,5,Gamma,0.005,0.011716843550217959,-0.009374686255810616,0.021091529806028575
Conditional weight,5,Delta,0.01,0.97056005096601,0.9525120157151026,0.01804803525090737
Conditional weight,5,Gamma,0.01,0.010763485401875883,-0.009384048060720573,0.020147533462596456
Conditional weight,5,Delta,0.02,0.9698466706158221,0.9533291555456804,0.016517515070141653
Conditional weight,5,Gamma,0.02,-0.0040854028717688395,-0.009421480644813407,0.005336077773044567
Conditional weight,5,Vega per vol point,0.0025,0.010178269143283458,0.017063382381117265,-0.0068851132378338065
Conditional weight,5,Vega per vol point,0.005,0.010286711512316415,0.01708216570558463,-0.006795454193268213
Conditional weight,5,Vega per vol point,0.01,0.010310331935646566,0.01715752906885548,-0.006847197133208915
Direct,6,Delta,0.001,0.9346318758346683,0.9522425621447539,-0.017610686310085555
Direct,6,Gamma,0.001,0.19754061072703163,-0.009371690172343959,0.2069123008993756
Direct,6,Delta,0.0025,0.9620721523299771,0.9522568488218823,0.009815303508094786
Direct,6,Gamma,0.0025,-0.07280096503555455,-0.009372345575741292,-0.06342861945981326
Direct,6,Delta,0.005,0.889859684006276,0.9523078749804235,-0.062448190974147444
Direct,6,Gamma,0.005,-0.05185856473578454,-0.009374686255810616,-0.042483878479973924
Direct,6,Delta,0.01,0.896287152277865,0.9525120157151026,-0.05622486343723754
Direct,6,Gamma,0.01,-0.022061630126438914,-0.009384048060720573,-0.01267758206571834
Direct,6,Delta,0.02,0.88528960381364,0.9533291555456804,-0.06803955173204046
Direct,6,Gamma,0.02,-0.009301390178586777,-0.009421480644813407,0.00012009046622663
Direct,6,Vega per vol point,0.0025,0.07003821642138774,0.017063382381117265,0.05297483404027048
Direct,6,Vega per vol point,0.005,0.07048125537884964,0.01708216570558463,0.05339908967326501
Direct,6,Vega per vol point,0.01,0.07635849243962056,0.01715752906885548,0.05920096337076508
Bernoulli bridge,6,Delta,0.001,0.9998039020491056,0.9522425621447539,0.04756133990435174
Bernoulli bridge,6,Gamma,0.001,-1.338595629303718,-0.009371690172343959,-1.329223939131374
Bernoulli bridge,6,Delta,0.0025,0.9742273700787649,0.9522568488218823,0.02197052125688259
Bernoulli bridge,6,Gamma,0.0025,-0.5281757539436569,-0.009372345575741292,-0.5188034083679156
Bernoulli bridge,6,Delta,0.005,0.9295243934689781,0.9523078749804235,-0.02278348151144538
Bernoulli bridge,6,Gamma,0.005,-0.180783451474813,-0.009374686255810616,-0.1714087652190024
Bernoulli bridge,6,Delta,0.01,0.9526879293623152,0.9525120157151026,0.00017591364721258884
