sampling,method,monitoring_steps,sample_size,estimate,runtime_seconds,replication,seed,error_vs_analytic
MC,Bernoulli bridge,504,1024,5.331298248179339,0.0888061000732705,3,20764807,0.41488865344721937
MC,Conditional weight,504,1024,5.34131544962974,0.0888061000732705,3,20764807,0.424905854897621
MC,Direct,504,4096,5.288410090995022,0.35496930009685457,3,20764807,0.37200049626290266
MC,Bernoulli bridge,504,4096,5.0139273195764105,0.35496930009685457,3,20764807,0.09751772484429111
MC,Conditional weight,504,4096,5.01473366592459,0.35496930009685457,3,20764807,0.09832407119247044
MC,Direct,504,16384,5.217955652998855,1.4850914999842644,3,20764807,0.30154605826673553
MC,Bernoulli bridge,504,16384,4.944691572283363,1.4850914999842644,3,20764807,0.028281977551243287
MC,Conditional weight,504,16384,4.9531684257262265,1.4850914999842644,3,20764807,0.03675883099410715
MC,Direct,504,65536,5.223031118352495,5.827208400005475,3,20764807,0.3066215236203753
MC,Bernoulli bridge,504,65536,4.935454421261251,5.827208400005475,3,20764807,0.01904482652913142
MC,Conditional weight,504,65536,4.934139093904607,5.827208400005475,3,20764807,0.01772949917248745
RQMC,Direct,12,1024,6.585220041482128,0.03240170003846288,0,30272804,1.6688104467500082
RQMC,Bernoulli bridge,12,1024,5.065428881558052,0.03240170003846288,0,30272804,0.1490192868259328
